First Name,Last Name,World Rank,Odds,Current_Standing,Picture_URL
Dustin,Johnson,4,12/1,0,Johnson.png
Tony,Finau,17,14/1,0,Finau.png
Brooks,Koepka,6,14/1,0,Koepka.png
Tommy,Fleetwood,12,17/1,0,Fleetwood.png
Paul,Casey,27,18/1,0,Casey.png
Lucas,Glover,78,25/1,0,Glover.png
Bubba,Watson,59,28/1,0,Watson.png
Matthew,Wolff,55,28/1,0,Wolff.png
Harris,English,126,35/1,0,English.png
Russell,Henley,171,35/1,0,Henley.png
Luke,List,118,40/1,0,List.png
Erik,van Rooyen,43,45/1,0,van_Rooyen.png
Sam,Burns,169,50/1,0,Burns.png
Brian,Harman,134,55/1,0,Harman.png
Ryan,Moore,116,55/1,0,Moore.png
Doc,Redman,121,55/1,0,Redman.png
Brendon,Todd,51,55/1,0,Todd.png
Max,Homa,74,60/1,0,Homa.png
Dylan,Frittelli,104,66/1,0,Frittelli.png
Henrik,Norlander,141,66/1,0,Norlander.png
Carlos,Ortiz,129,66/1,0,Ortiz.png
Patrick,Rodgers,182,66/1,0,Rodgers.png
Jhonattan,Vegas,143,66/1,0,Vegas.png
William,Gordon,197,70/1,0,Gordon.png
Charley,Hoffman,135,70/1,0,Hoffman.png
Jason,Kokrak,66,70/1,0,Kokrak.png
Troy,Merritt,147,70/1,0,Merritt.png
Brice,Garnett,211,80/1,0,Garnett.png
Charles,Howell III,86,80/1,0,Howell_III.png
Sepp,Straka,146,80/1,0,Straka.png
Rafa,Cabrera Bello,52,90/1,0,Cabrera_Bello.png
Talor,Gooch,144,90/1,0,Gooch.png
Chris,Kirk,259,90/1,0,Kirk.png
Adam,Long,110,90/1,0,Long.png
Pat,Perez,145,90/1,0,Perez.png
Sam,Ryder,204,90/1,0,Ryder.png
Siwoo,Kim,127,90/1,0,Kim.png
Scott,Stallings,220,90/1,0,Stallings.png
Kyle,Stanley,175,90/1,0,Stanley.png
Kristoffer,Ventura,161,90/1,0,Ventura.png
