First Name,Last Name,World Rank,Odds,Current_Standing,Picture_URL
Brooks,Koepka,6,10/1,0,BrooksKoepka.png
Justin,Thomas,1,11/1,0,JustinThomas.png
Jon,Rahm,2,14/1,0,JonRahm.png
Rory,McIlroy,3,14/1,0,RoryMcIlroy.png
Bryson,Dechambeau,7,16/1,0,BrysonDechambeau.png
Dustin,Johnson,5,20/1,0,DustinJohnson.png
Xander,Schauffele,11,20/1,0,XanderSchauffele.png
Webb,Simpson,4,25/1,0,WebbSimpson.png
Patrick,Cantlay,10,30/1,0,PatrickCantlay.png
Collin,Morikawa,12,33/1,0,CollinMorikawa.png
Tiger,Woods,15,33/1,0,TigerWoods.png
Daniel,Berger,20,35/1,0,DanielBerger.png
Rickie,Fowler,32,35/1,0,RickieFowler.png
Hideki,Matsuyama,27,40/1,0,HidekiMatsuyama.png
Jason,Day,42,40/1,0,JasonDay.png
Tony,Finau,17,40/1,0,TonyFinau.png
Matthew,Fitzpatrick,18,42/1,0,MatthewFitzpatrick.png
Gary,Woodland,21,45/1,0,GaryWoodland.png
Jordan,Spieth,62,45/1,0,JordanSpieth.png
Patrick,Reed,8,45/1,0,PatrickReed.png
Tommy,Fleetwood,13,45/1,0,TommyFleetwood.png
Viktor,Hovland,31,45/1,0,ViktorHovland.png
Tyrrell,Hatton,14,50/1,0,TyrrellHatton.png
Adam,Scott,9,55/1,0,AdamScott.png
Abraham,Ancer,23,60/1,0,AbrahamAncer.png
Justin,Rose,16,65/1,0,JustinRose.png
Shane,Lowry,26,70/1,0,ShaneLowry.png
Louis,Oosthuizen,24,75/1,0,LouisOosthuizen.png
Marc,Leishman,19,75/1,0,MarcLeishman.png
Sungjae,Im,25,80/1,0,SungjaeIm.png
Brendon,Todd,48,85/1,0,BrendonTodd.png
Phil,Mickelson,49,85/1,0,PhilMickelson.png
Sergio,Garcia,41,85/1,0,SergioGarcia.png
Matt,Kuchar,22,90/1,0,MattKuchar.png
Bubba,Watson,63,100/1,0,BubbaWatson.png
Chez,Reavie,36,100/1,0,ChezReavie.png
Danny,Willett,38,100/1,0,DannyWillett.png
Matthew,Wolff,53,100/1,0,MatthewWolff.png
Paul,Casey,28,100/1,0,PaulCasey.png
Billy,Horschel,40,110/1,0,BillyHorschel.png
Scottie,Scheffler,59,110/1,0,ScottieScheffler.png
Henrik,Stenson,33,120/1,0,HenrikStenson.png
Joaquin,Niemann,68,120/1,0,JoaquinNiemann.png
Byeong,Hun An,56,130/1,0,ByeongHunAn.png
Max,Homa,70,130/1,0,MaxHoma.png
Cameron,Champ,76,150/1,0,CameronChamp.png
Richy,Werenski,127,170/1,0,RichyWerenski.png
Matt,Wallace,43,180/1,0,MattWallace.png
Tom,Lewis,46,180/1,0,TomLewis.png
Adam,Hadwin,60,200/1,0,AdamHadwin.png
Bernd,Wiesberger,29,200/1,0,BerndWiesberger.png
Brandt,Snedeker,64,200/1,0,BrandtSnedeker.png
Charl,Schwartzel,187,200/1,0,CharlSchwartzel.png
Corey,Conners,65,200/1,0,CoreyConners.png
Erik,van Rooyen,44,200/1,0,ErikvanRooyen.png
Harris,English,123,200/1,0,HarrisEnglish.png
Ian,Poulter,57,200/1,0,IanPoulter.png
Jason,Kokrak,67,200/1,0,JasonKokrak.png
Kevin,Kisner,34,200/1,0,KevinKisner.png
Kevin,Streelman,45,200/1,0,KevinStreelman.png
Lucas,Glover,80,200/1,0,LucasGlover.png
