First Name,Last Name,World Rank,Odds,Current_Standing,Picture_URL
Dustin,Johnson,1,19/2,0,DustinJohnson.png
Jon,Rahm,2,10/1,0,JonRahm.png
Justin,Thomas,3,14/1,0,JustinThomas.png
Xander,Schauffele,7,14/1,0,XanderSchauffele.png
Rory,McIlroy,4,16/1,0,RoryMcIlroy.png
Collin,Morikawa,5,18/1,0,CollinMorikawa.png
Patrick,Cantlay,11,27/1,0,PatrickCantlay.png
Bryson,DeChambeau,9,28/1,0,BrysonDeChambeau.png
Webb,Simpson,6,28/1,0,WebbSimpson.png
Daniel,Berger,13,30/1,0,DanielBerger.png
Tommy,Fleetwood,15,33/1,0,TommyFleetwood.png
Hideki,Matsuyama,18,35/1,0,HidekiMatsuyama.png
Tony,Finau,16,35/1,0,TonyFinau.png
Patrick,Reed,10,36/1,0,PatrickReed.png
Adam,Scott,12,40/1,0,AdamScott.png
Jason,Day,37,40/1,0,JasonDay.png
Tyrrell,Hatton,14,45/1,0,TyrrellHatton.png
Matthew,Fitzpatrick,17,48/1,0,MatthewFitzpatrick.png
Tiger,Woods,21,48/1,0,TigerWoods.png
Justin,Rose,20,50/1,0,JustinRose.png
Paul,Casey,19,50/1,0,PaulCasey.png
Matthew,Wolff,36,65/1,0,MatthewWolff.png
Rickie,Fowler,38,65/1,0,RickieFowler.png
Viktor,Hovland,31,65/1,0,ViktorHovland.png
Harris,English,45,70/1,0,HarrisEnglish.png
Louis,Oosthuizen,25,75/1,0,LouisOosthuizen.png
Abraham,Ancer,23,80/1,0,AbrahamAncer.png
Gary,Woodland,26,80/1,0,GaryWoodland.png
Shane,Lowry,29,80/1,0,ShaneLowry.png
Sungjae,Im,24,80/1,0,SungjaeIm.png
Brendon,Todd,39,85/1,0,BrendonTodd.png
Phil,Mickelson,53,85/1,0,PhilMickelson.png
Jordan,Spieth,67,95/1,0,JordanSpieth.png
Kevin,Kisner,30,100/1,0,KevinKisner.png
Martin,Kaymer,87,100/1,0,MartinKaymer.png
Joaquin,Niemann,49,110/1,0,JoaquinNiemann.png
Sergio,Garcia,46,110/1,0,SergioGarcia.png
Will,Zalatoris,119,120/1,0,WillZalatoris.png
Cameron,Champ,74,130/1,0,CameronChamp.png
Alex,Noren,93,140/1,0,AlexNoren.png
Jason,Kokrak,55,140/1,0,JasonKokrak.png
Billy,Horschel,33,150/1,0,BillyHorschel.png
Bubba,Watson,62,150/1,0,BubbaWatson.png
Chez,Reavie,40,150/1,0,ChezReavie.png
Henrik,Stenson,41,150/1,0,HenrikStenson.png
Ian,Poulter,60,150/1,0,IanPoulter.png
Matt,Kuchar,27,150/1,0,MattKuchar.png
Rasmus,Hojgaard,66,150/1,0,RasmusHojgaard.png
Sebastian,Munoz,75,150/1,0,SebastianMunoz.png
Siwoo,Kim,90,150/1,0,SiwooKim.png
Byeong,Hun An,57,170/1,0,ByeongHunAn.png
Mackenzie,Hughes,56,170/1,0,MackenzieHughes.png
Marc,Leishman,22,170/1,0,MarcLeishman.png
Joel,Dahmen,61,190/1,0,JoelDahmen.png
Bernd,Wiesberger,32,200/1,0,BerndWiesberger.png
Brian,Harman,110,200/1,0,BrianHarman.png
Cameron,Smith,50,200/1,0,CameronSmith.png
Erik,van Rooyen,48,200/1,0,ErikvanRooyen.png
Kevin,Na,34,200/1,0,KevinNa.png
Lee,Westwood,42,200/1,0,LeeWestwood.png
Matt,Wallace,47,200/1,0,MattWallace.png
Thomas,Pieters,76,200/1,0,ThomasPieters.png
Tom,Lewis,54,200/1,0,TomLewis.png
Zach,Johnson,178,200/1,0,ZachJohnson.png
Branden,Grace,102,210/1,0,BrandenGrace.png
Corey,Conners,69,210/1,0,CoreyConners.png
Kevin,Streelman,43,210/1,0,KevinStreelman.png
Ryan,Palmer,35,210/1,0,RyanPalmer.png
Danny,Willett,44,230/1,0,DannyWillett.png
Andy,Sullivan,96,250/1,0,AndySullivan.png
Brandon,Wu,199,250/1,0,BrandonWu.png
Brandt,Snedeker,73,250/1,0,BrandtSnedeker.png
Christiaan,Bezuidenhout,52,250/1,0,ChristiaanBezuidenhout.png
Graeme,McDowell,59,250/1,0,GraemeMcDowell.png
Keegan,Bradley,103,250/1,0,KeeganBradley.png
Matthias,Schwab,88,250/1,0,MatthiasSchwab.png
Michael,Thompson,113,250/1,0,MichaelThompson.png
Rafa,Cabrera Bello,71,250/1,0,RafaCabreraBello.png
Robert,MacIntyre,89,250/1,0,RobertMacIntyre.png
Rory,Sabbatini,104,270/1,0,RorySabbatini.png
Adam,Hadwin,64,300/1,0,AdamHadwin.png
Adam,Long,76,300/1,0,AdamLong.png
Charles,Howell III,86,300/1,0,CharlesHowellIII.png
Eddie,Pepperell,126,300/1,0,EddiePepperell.png
Justin,Harding,120,300/1,0,JustinHarding.png
Lanto,Griffin,70,300/1,0,LantoGriffin.png
Lucas,Glover,109,300/1,0,LucasGlover.png
Mark,Hubbard,133,300/1,0,MarkHubbard.png
Mike,Lorenzo-Vera,83,300/1,0,MikeLorenzoVera.png
Paul,Waring,105,300/1,0,PaulWaring.png
Romain,Langasque,106,300/1,0,RomainLangasque.png
Sami,Valimaki,107,300/1,0,SamiValimaki.png
Sunghoon,Kang,68,300/1,0,SunghoonKang.png
Takumi,Kanaya,240,300/1,0,TakumiKanaya.png
Thomas,Detry,80,300/1,0,ThomasDetry.png
Victor,Perez,51,300/1,0,VictorPerez.png
Adrian,Otaegui,228,350/1,0,AdrianOtaegui.png
Connor,Syme,206,350/1,0,ConnorSyme.png
Danny,Lee,108,350/1,0,DannyLee.png
J.T.,Poston,72,350/1,0,JTPoston.png
Jazz,Janewattananond,63,350/1,0,JazzJanewattananond.png
Jimmy,Walker,347,350/1,0,JimmyWalker.png
Kurt,Kitayama,99,350/1,0,KurtKitayama.png
Max,Homa,79,350/1,0,MaxHoma.png
Richy,Werenski,132,350/1,0,RichyWerenski.png
Ryan,Fox,168,350/1,0,RyanFox.png
Taylor,Pendrith,157,350/1,0,TaylorPendrith.png
Troy,Merritt,131,350/1,0,TroyMerritt.png
Tyler,Duncan,152,350/1,0,TylerDuncan.png
Andrew,Putnam,124,450/1,0,AndrewPutnam.png
Chesson,Hadley,222,450/1,0,ChessonHadley.png
Curtis,Luck,375,450/1,0,CurtisLuck.png
Lee,Hodges,248,450/1,0,LeeHodges.png
Lucas,Herbert,78,450/1,0,LucasHerbert.png
Matt,Jones,101,450/1,0,MattJones.jpeg
Renato,Paratore,171,450/1,0,RenatoParatore.png
Scott,Hend,340,450/1,0,ScottHend.png
Shugo,Imahira,65,450/1,0,ShugoImahira.png
Steve,Stricker,537,450/1,0,SteveStricker.png
Andy,Ogletree,4763,500/1,0,AndyOgletree.png
Chan,Kim,98,500/1,0,ChanKim.png
Yu,Chun-an,872,500/1,0,YuChunAn.png
Cole,Hammer,7334,500/1,0,ColeHammer.png
Davis,Riley,170,500/1,0,DavisRiley.png
Davis,Thompson,1513,500/1,0,DavisThompson.png
Eduard,Rousaud,4609,500/1,0,EduardRousaud.png
JC,Ritchie,162,500/1,0,JCRitchie.png
Jim,Herman,94,500/1,0,JimHerman.png
John,Augenstein,4031,500/1,0,JohnAugenstein.png
Lukas,Michel,1408,500/1,0,LukasMichel.png
Preston,Summerhays,4141,500/1,0,PrestonSummerhays.png
Ricky,Castillo,#N/A,500/1,0,RickyCastillo.png
Ryo,Ishikawa,114,500/1,0,RyoIshikawa.png
Shaun,Norris,84,500/1,0,ShaunNorris.png
Stephan,Jaeger,266,500/1,0,StephanJaeger.png
Daniel,McCarthy,339,1000/1,0,DanielMcCarthy.png
Daniel,Balin,5746,1000/1,0,DanielBalin.png
Greyson,Sigg,230,1000/1,0,GreysonSigg.png
James,Sugrue,8001,1000/1,0,JamesSugrue.png
John,Pak,#N/A,1000/1,0,JohnPak.png
Marty,Jertson,1660,1000/1,0,MartyJertson.png
Paul,Barjon,169,1000/1,0,PaulBarjon.png
Ryan,Vermeer,1662,1000/1,0,RyanVermeer.png
Sandy,Scott,#N/A,1000/1,0,SandyScott.png
